timestamp,0,1,2,3,4,5,6,7,8,9
2026-05-03 11:03:02.687,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:03.783,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:04.853,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:05.924,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:06.987,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:08.057,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:09.120,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:10.188,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:11.255,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:12.313,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:13.381,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:14.438,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:15.501,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:16.567,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:17.636,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:18.699,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:19.757,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:20.827,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:21.883,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:22.940,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:23.994,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:25.064,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:26.132,1.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:27.202,1.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:28.259,1.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:29.324,1.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:30.393,1.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:31.463,1.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:32.533,1.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:33.601,1.0,50.0,100.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:34.667,1.0,50.0,100.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:35.738,1.0,50.0,100.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:36.806,1.0,50.0,100.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
2026-05-03 11:03:37.868,1.0,50.0,100.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
